metabarcoding_id	sequence_length_bp	mag_id	contig	rrna_hit	identity_percent	function_source	key_functions_top5	mag_products_top5	mag_ec_top5	mag_cog_top5	heatwave - dying	heatwave-no sings of necrosis	pre-heatwave- healthy	post heatwave- healthy	heatwave-showing sings of necrosis	source_report
3ed95ec7c6f2207450d519be037c51ed	3592	GCA_965207635.1	ENA|OZ242291|OZ242291.1	GCA_965207635.1|ENA|OZ242291|OZ242291.1|16S|1181657-1183157	100.00	mag_products_top	putative protein (n=25) | putative oxidoreductase (n=11) | Succinyl-CoA:(R)-benzylsuccinate CoA-transferase subunit BbsE (n=10) | Glutathione transport system permease protein GsiD (n=10) | Indole-3-acetate monooxygenase (n=9)	putative protein (n=25) | putative oxidoreductase (n=11) | Succinyl-CoA:(R)-benzylsuccinate CoA-transferase subunit BbsE (n=10) | Glutathione transport system permease protein GsiD (n=10) | Indole-3-acetate monooxygenase (n=9)	3.1.-.- (n=29) | 1.1.1.- (n=26) | 1.-.-.- (n=21) | 2.8.3.15 (n=19) | 1.14.-.- (n=16)	COG1028 (n=37) | COG2124 (n=25) | COG1024 (n=17) | COG1960 (n=15) | COG1173 (n=13)	0.0097	0.0065	0.0041	0.0301	0.0084	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
42c105944110e8e291056cdb94e8e398	1371	GCA_965207315.1	ENA|OZ242277|OZ242277.1	GCA_965207315.1|ENA|OZ242277|OZ242277.1|18S|2503054-2503935	96.40	mag_products_top	putative protein (n=25) | Dipeptidyl-peptidase 5 (n=10) | N-substituted formamide deformylase (n=8) | Insertion sequence IS5376 putative ATP-binding protein (n=7) | N-acyl-D-glutamate deacylase (n=6)	putative protein (n=25) | Dipeptidyl-peptidase 5 (n=10) | N-substituted formamide deformylase (n=8) | Insertion sequence IS5376 putative ATP-binding protein (n=7) | N-acyl-D-glutamate deacylase (n=6)	3.1.-.- (n=38) | 3.4.14.- (n=12) | 7.6.2.- (n=12) | 3.5.1.91 (n=8) | 2.1.1.72 (n=8)	COG1373 (n=14) | COG1848 (n=11) | COG0823 (n=10) | COG0520 (n=10) | COG3653 (n=9)	0.0000	0.0000	0.0000	0.0000	0.0078	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
4406b1086f02abd426cce2fcc9aa9638	1349	CBDBNY01	ENA|CBDBNY010000004|CBDBNY010000004.1	CBDBNY01|ENA|CBDBNY010000004|CBDBNY010000004.1|16S|783396-784941	96.60	mag_products_top	putative protein (n=22) | Dipeptidyl-peptidase 5 (n=14) | Glutathione hydrolase proenzyme (n=8) | Macrolide export ATP-binding/permease protein MacB (n=7) | N-acyl-D-glutamate deacylase (n=7)	putative protein (n=22) | Dipeptidyl-peptidase 5 (n=14) | Glutathione hydrolase proenzyme (n=8) | Macrolide export ATP-binding/permease protein MacB (n=7) | N-acyl-D-glutamate deacylase (n=7)	3.1.-.- (n=26) | 3.4.14.- (n=15) | 7.6.2.- (n=14) | 7.1.1.- (n=9) | 3.4.19.13 (n=8)	COG0823 (n=15) | COG0405 (n=11) | COG3653 (n=11) | COG1373 (n=10) | COG1028 (n=10)	0.0131	0.0007	0.0000	0.0017	0.0005	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
4582e8f7ef35357e09746bc9b9681e13	1242	odSpoOffi2.metagenome.1.primary	ctg20065l	odSpoOffi2.metagenome.1.primary|ctg20065l|16S|10701-12192	95.70	contig_annotation_highlights	Porphobilinogen deaminase (n=1) | Glutamyl-tRNA reductase (n=1) | AP-4-A phosphorylase (n=1) | DNA-binding protein HU (n=1) | Small ribosomal subunit protein bS1 (n=1)				0.0075	0.0022	0.0048	0.0020	0.0032	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
47312d7a6d70799542bd4f6df0f824c1	1332	CBDBNQ01	ENA|CBDBNQ010000002|CBDBNQ010000002.1	CBDBNQ01|ENA|CBDBNQ010000002|CBDBNQ010000002.1|16S|1073618-1075139	97.80	mag_products_top	putative protein YagA (n=25) | putative protein (n=13) | Putative transposase InsK for insertion sequence element IS150 (n=7) | Endoribonuclease HigB (n=5) | Toxin HigB-1 (n=4)	putative protein YagA (n=25) | putative protein (n=13) | Putative transposase InsK for insertion sequence element IS150 (n=7) | Endoribonuclease HigB (n=5) | Toxin HigB-1 (n=4)	3.1.-.- (n=26) | 7.1.1.- (n=23) | 2.1.1.72 (n=6) | 3.4.-.- (n=5) | 3.4.24.- (n=5)	COG2801 (n=32) | COG3093 (n=7) | COG1373 (n=6) | COG1028 (n=4) | COG2204 (n=4)	0.0000	0.0000	0.0106	0.0000	0.0000	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
47dd3b3a55a7e132288b481add35426d	1330	GCA_965208465.1	ENA|OZ242343|OZ242343.1	GCA_965208465.1|ENA|OZ242343|OZ242343.1|16S|436886-438409	98.10	mag_products_top	RNA-guided DNA endonuclease TnpB (n=6) | putative protein (n=4) | Endoribonuclease HigB (n=3) | Gamma-aminobutyric acid-binding protein (n=3) | CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (n=2)	RNA-guided DNA endonuclease TnpB (n=6) | putative protein (n=4) | Endoribonuclease HigB (n=3) | Gamma-aminobutyric acid-binding protein (n=3) | CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (n=2)	7.1.1.- (n=13) | 3.1.-.- (n=10) | 3.1.21.- (n=6) | 2.7.7.7 (n=6) | 2.8.1.- (n=5)	COG0675 (n=6) | COG0607 (n=4) | COG0859 (n=3) | COG1366 (n=3) | COG3093 (n=2)	0.0009	0.0133	0.0034	0.0093	0.0101	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
4894740632b283d8cf964a755b1a9c39	1352	GCA_965207315.1	ENA|OZ242277|OZ242277.1	GCA_965207315.1|ENA|OZ242277|OZ242277.1|18S|2503054-2503935	96.60	mag_products_top	putative protein (n=25) | Dipeptidyl-peptidase 5 (n=10) | N-substituted formamide deformylase (n=8) | Insertion sequence IS5376 putative ATP-binding protein (n=7) | N-acyl-D-glutamate deacylase (n=6)	putative protein (n=25) | Dipeptidyl-peptidase 5 (n=10) | N-substituted formamide deformylase (n=8) | Insertion sequence IS5376 putative ATP-binding protein (n=7) | N-acyl-D-glutamate deacylase (n=6)	3.1.-.- (n=38) | 3.4.14.- (n=12) | 7.6.2.- (n=12) | 3.5.1.91 (n=8) | 2.1.1.72 (n=8)	COG1373 (n=14) | COG1848 (n=11) | COG0823 (n=10) | COG0520 (n=10) | COG3653 (n=9)	0.0007	0.0000	0.0090	0.0000	0.0000	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
48ea8f5a74633f10cfd7b33900ad6391	1369	GCA_963665755.1	ENA|OY762445|OY762445.1	GCA_963665755.1|ENA|OY762445|OY762445.1|16S|2448329-2449873	98.00	mag_products_top	putative protein (n=15) | Isopenicillin N epimerase (n=12) | Serine/threonine exchanger SteT (n=9) | Putative transposase InsK for insertion sequence element IS150 (n=9) | Ulvan-active sulfatase (n=9)	putative protein (n=15) | Isopenicillin N epimerase (n=12) | Serine/threonine exchanger SteT (n=9) | Putative transposase InsK for insertion sequence element IS150 (n=9) | Ulvan-active sulfatase (n=9)	1.1.1.- (n=24) | 3.1.6.- (n=13) | 3.1.-.- (n=12) | 5.1.1.17 (n=12) | 7.6.2.- (n=11)	COG3119 (n=24) | COG0673 (n=23) | COG4948 (n=23) | COG0520 (n=17) | COG1028 (n=15)	0.0063	0.0078	0.0099	0.0036	0.0084	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
55b91a516b5c77cd15f21c0c3aea2fae	1464	GCA_963664695.1	ENA|OY761543|OY761543.1	GCA_963664695.1|ENA|OY761543|OY761543.1|16S|792477-793975	98.40	mag_products_top	D-galactonate dehydratase (n=20) | putative protein (n=13) | Dipeptide transport system permease protein DppB (n=11) | D-galactarolactone cycloisomerase (n=10) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=9)	D-galactonate dehydratase (n=20) | putative protein (n=13) | Dipeptide transport system permease protein DppB (n=11) | D-galactarolactone cycloisomerase (n=10) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=9)	1.1.1.- (n=20) | 4.2.1.6 (n=20) | 3.1.-.- (n=18) | 7.4.2.9 (n=12) | 1.-.-.- (n=11)	COG4948 (n=50) | COG1028 (n=18) | COG0601 (n=17) | COG1173 (n=15) | COG0444 (n=11)	0.0002	0.0011	0.0003	0.0142	0.0008	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
569abb839e085c8c69cea0a48638a585	1363	odSpoOffi2.metagenome.1.primary	ctg21451l	odSpoOffi2.metagenome.1.primary|ctg21451l|16S|928735-930251	98.20	contig_annotation_highlights	putative protein (n=17) | Putative coenzyme F420-dependent oxidoreductase (n=3) | Carbon monoxide dehydrogenase large chain (n=3) | D-aminoacylase (n=2) | Acyl-CoA dehydrogenase IpdE1 (n=2)				0.0250	0.0419	0.0317	0.0110	0.0275	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
5ca7608438f518819bfd5ff6a25d0e9e	1370	GCA_965207315.1	ENA|OZ242277|OZ242277.1	GCA_965207315.1|ENA|OZ242277|OZ242277.1|18S|2503054-2503935	97.40	mag_products_top	putative protein (n=25) | Dipeptidyl-peptidase 5 (n=10) | N-substituted formamide deformylase (n=8) | Insertion sequence IS5376 putative ATP-binding protein (n=7) | N-acyl-D-glutamate deacylase (n=6)	putative protein (n=25) | Dipeptidyl-peptidase 5 (n=10) | N-substituted formamide deformylase (n=8) | Insertion sequence IS5376 putative ATP-binding protein (n=7) | N-acyl-D-glutamate deacylase (n=6)	3.1.-.- (n=38) | 3.4.14.- (n=12) | 7.6.2.- (n=12) | 3.5.1.91 (n=8) | 2.1.1.72 (n=8)	COG1373 (n=14) | COG1848 (n=11) | COG0823 (n=10) | COG0520 (n=10) | COG3653 (n=9)	0.0000	0.0000	0.0000	0.0000	0.0000	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
5cafaf1b0bd72097fb02decb9005f84e	1369	odSpoOffi2.metagenome.1.primary	ctg12905l	odSpoOffi2.metagenome.1.primary|ctg12905l|16S|7930-9459	98.10	contig_annotation_highlights	Glutamate-1-semialdehyde 2,1-aminomutase (n=1) | Iron-sulfur cluster insertion protein ErpA (n=1) | Anhydro-N-acetylmuramic acid kinase (n=1) | Murein DD-endopeptidase MepM (n=1) | Tyrosine--tRNA ligase (n=1)				0.0074	0.0297	0.0329	0.0042	0.0224	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
5dac59e076df3e2cfdcdc7ae11b25b59	1307	CBDBNP01	ENA|CBDBNP010000006|CBDBNP010000006.1	CBDBNP01|ENA|CBDBNP010000006|CBDBNP010000006.1|16S|151563-153048	98.20	mag_products_top	L-lactate transporter (n=9) | putative protein (n=8) | Cyclopentanol dehydrogenase (n=6) | Oxygen-dependent choline dehydrogenase (n=6) | Alkanal monooxygenase alpha chain (n=5)	L-lactate transporter (n=9) | putative protein (n=8) | Cyclopentanol dehydrogenase (n=6) | Oxygen-dependent choline dehydrogenase (n=6) | Alkanal monooxygenase alpha chain (n=5)	1.1.99.1 (n=6) | 1.1.1.163 (n=6) | 1.14.14.3 (n=5) | 2.8.3.- (n=5) | 2.1.1.72 (n=4)	COG2223 (n=9) | COG2141 (n=7) | COG2303 (n=6) | COG1028 (n=5) | COG1804 (n=5)	0.0011	0.0022	0.0032	0.0092	0.0010	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
5de9080d7063dbe8952f51721eec1afe	1304	GCA_963663255.1	ENA|OY760141|OY760141.1	GCA_963663255.1|ENA|OY760141|OY760141.1|16S|3181971-3183473	97.20	mag_products_top	putative protein (n=40) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=14) | Acyl-CoA dehydrogenase IpdE1 (n=10) | High-affinity branched-chain amino acid transport ATP-binding protein LivF (n=10) | Feruloyl-CoA synthase (n=9)	putative protein (n=40) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=14) | Acyl-CoA dehydrogenase IpdE1 (n=10) | High-affinity branched-chain amino acid transport ATP-binding protein LivF (n=10) | Feruloyl-CoA synthase (n=9)	1.3.99.- (n=39) | 1.1.1.- (n=34) | 1.-.-.- (n=25) | 1.1.1.100 (n=20) | 7.1.1.- (n=18)	COG1028 (n=55) | COG1960 (n=40) | COG2124 (n=30) | COG1024 (n=28) | COG0318 (n=28)	0.0034	0.0002	0.0002	0.0132	0.0059	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
5f1e336aa4e69c0979579a7e4036afe3	1343	CBDBOF01	ENA|CBDBOF010000002|CBDBOF010000002.1	CBDBOF01|ENA|CBDBOF010000002|CBDBOF010000002.1|16S|508944-510484	97.50	mag_products_top	putative protein (n=76) | Alkanal monooxygenase alpha chain (n=31) | Putative coenzyme F420-dependent oxidoreductase (n=18) | Caprolactamase subunit alpha (n=15) | Cyclohexanol dehydrogenase (n=15)	putative protein (n=76) | Alkanal monooxygenase alpha chain (n=31) | Putative coenzyme F420-dependent oxidoreductase (n=18) | Caprolactamase subunit alpha (n=15) | Cyclohexanol dehydrogenase (n=15)	1.3.99.- (n=34) | 3.5.2.- (n=33) | 1.14.14.3 (n=31) | 1.-.-.- (n=30) | 3.1.-.- (n=28)	COG2141 (n=68) | COG1960 (n=42) | COG1024 (n=39) | COG1028 (n=30) | COG1804 (n=22)	0.0034	0.0170	0.0158	0.0105	0.0046	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
61a659cf55f4255dd278075143a41129	1461	GCA_965207525.1	ENA|OZ242285|OZ242285.1	GCA_965207525.1|ENA|OZ242285|OZ242285.1|16S|2139356-2140852	98.80	mag_products_top	C4-dicarboxylate TRAP transporter large permease protein DctM (n=49) | Insertion sequence IS5376 putative ATP-binding protein (n=33) | Toluene-4-sulfonate monooxygenase system iron-sulfur subunit TsaM1 (n=28) | Solute-binding protein (n=26) | Single-stranded DNA-binding protein (n=24)	C4-dicarboxylate TRAP transporter large permease protein DctM (n=49) | Insertion sequence IS5376 putative ATP-binding protein (n=33) | Toluene-4-sulfonate monooxygenase system iron-sulfur subunit TsaM1 (n=28) | Solute-binding protein (n=26) | Single-stranded DNA-binding protein (n=24)	3.1.-.- (n=40) | 1.14.14.- (n=34) | 1.2.5.3 (n=30) | 3.5.2.- (n=30) | 1.17.5.2 (n=27)	COG1028 (n=42) | COG1638 (n=30) | COG1024 (n=29) | COG1960 (n=21) | COG0559 (n=20)	0.0046	0.0056	0.0087	0.0145	0.0051	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
61c12cfee7871f0ef2f8d2691afaff17	1295	odSpoOffi2.metagenome.1.primary	ctg21627l	odSpoOffi2.metagenome.1.primary|ctg21627l|16S|3378531-3380022	97.30	contig_annotation_highlights	N-acetylgalactosamine-6-O-sulfatase (n=29) | Ulvan-active sulfatase (n=24) | Arylsulfatase (n=20) | putative protein (n=14) | Sulfatase (n=7)				0.0099	0.0024	0.0030	0.0018	0.0054	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
