dataset	mag_id	presence_class	v3v4_annotated_cds_count	v3v4_non_hypothetical_cds_count	v3v4_key_products_top5	v3v4_key_ec_top5	v3v4_key_cog_top5	full_annotated_cds_count	full_non_hypothetical_cds_count	full_key_products_top5	full_key_ec_top5	full_key_cog_top5
Agelas	GCA_958295805.1	both	2651	958	putative protein (n=15) | Endoribonuclease HigB (n=3) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=3) | Iron-sulfur cluster carrier protein (n=3) | 3-hydroxy-5-methyl-1-naphthoate 3-O-methyltransferase (n=3)	3.1.-.- (n=27) | 7.1.1.- (n=25) | 2.1.1.72 (n=9) | 3.4.24.- (n=5) | 3.4.-.- (n=4)	COG1373 (n=8) | COG3093 (n=5) | COG1008 (n=4) | COG1848 (n=3) | COG2204 (n=3)	2651	958	putative protein (n=15) | Endoribonuclease HigB (n=3) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=3) | Iron-sulfur cluster carrier protein (n=3) | 3-hydroxy-5-methyl-1-naphthoate 3-O-methyltransferase (n=3)	3.1.-.- (n=27) | 7.1.1.- (n=25) | 2.1.1.72 (n=9) | 3.4.24.- (n=5) | 3.4.-.- (n=4)	COG1373 (n=8) | COG3093 (n=5) | COG1008 (n=4) | COG1848 (n=3) | COG2204 (n=3)
Agelas	GCA_958295915.1	both	4132	1715	Arabinooligosaccharides transport system permease protein AraQ (n=35) | Lactose transport system permease protein LacF (n=29) | RNA-guided DNA endonuclease TnpB (n=26) | Myo-inositol 2-dehydrogenase (n=18) | Dipeptide transport system permease protein DppB (n=17)	1.1.1.- (n=33) | 3.1.21.- (n=26) | 7.4.2.9 (n=21) | 1.1.1.18 (n=19) | 1.-.-.- (n=17)	COG0395 (n=76) | COG0673 (n=42) | COG0601 (n=30) | COG1175 (n=29) | COG4948 (n=26)	4132	1715	Arabinooligosaccharides transport system permease protein AraQ (n=35) | Lactose transport system permease protein LacF (n=29) | RNA-guided DNA endonuclease TnpB (n=26) | Myo-inositol 2-dehydrogenase (n=18) | Dipeptide transport system permease protein DppB (n=17)	1.1.1.- (n=33) | 3.1.21.- (n=26) | 7.4.2.9 (n=21) | 1.1.1.18 (n=19) | 1.-.-.- (n=17)	COG0395 (n=76) | COG0673 (n=42) | COG0601 (n=30) | COG1175 (n=29) | COG4948 (n=26)
Agelas	GCA_958295975.1	both	2377	985	putative protein (n=19) | putative oxidoreductase (n=7) | Glutathione transport system permease protein GsiD (n=6) | 3-oxoacyl-[acyl-carrier-protein] synthase 2 (n=5) | Succinyl-CoA:(R)-benzylsuccinate CoA-transferase subunit BbsF (n=5)	1.-.-.- (n=17) | 1.1.1.- (n=17) | 3.1.-.- (n=15) | 7.1.1.- (n=13) | 1.3.99.- (n=12)	COG1028 (n=27) | COG1024 (n=16) | COG1960 (n=13) | COG2141 (n=10) | COG2124 (n=10)	2377	985	putative protein (n=19) | putative oxidoreductase (n=7) | Glutathione transport system permease protein GsiD (n=6) | 3-oxoacyl-[acyl-carrier-protein] synthase 2 (n=5) | Succinyl-CoA:(R)-benzylsuccinate CoA-transferase subunit BbsF (n=5)	1.-.-.- (n=17) | 1.1.1.- (n=17) | 3.1.-.- (n=15) | 7.1.1.- (n=13) | 1.3.99.- (n=12)	COG1028 (n=27) | COG1024 (n=16) | COG1960 (n=13) | COG2141 (n=10) | COG2124 (n=10)
Agelas	GCA_958296025.1	both	3291	1402	putative protein (n=21) | Iron and copper transporter IacT (n=19) | C4-dicarboxylate TRAP transporter large permease protein DctM (n=7) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=6) | Toxin FitB (n=5)	1.-.-.- (n=16) | 3.1.-.- (n=15) | 1.3.99.- (n=14) | 7.1.1.- (n=13) | 1.1.1.- (n=9)	COG1028 (n=23) | COG4773 (n=19) | COG1960 (n=16) | COG1024 (n=13) | COG1373 (n=10)	3291	1402	putative protein (n=21) | Iron and copper transporter IacT (n=19) | C4-dicarboxylate TRAP transporter large permease protein DctM (n=7) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=6) | Toxin FitB (n=5)	1.-.-.- (n=16) | 3.1.-.- (n=15) | 1.3.99.- (n=14) | 7.1.1.- (n=13) | 1.1.1.- (n=9)	COG1028 (n=23) | COG4773 (n=19) | COG1960 (n=16) | COG1024 (n=13) | COG1373 (n=10)
Agelas	GCA_958296085.1	both	4257	1991	putative protein (n=26) | Caprolactamase subunit alpha (n=21) | High-affinity branched-chain amino acid transport ATP-binding protein LivF (n=21) | High-affinity branched-chain amino acid transport system permease protein LivH (n=21) | Lipopolysaccharide export system ATP-binding protein LptB (n=19)	3.5.2.- (n=42) | 7.5.2.- (n=30) | 3.1.-.- (n=24) | 1.-.-.- (n=18) | 1.1.1.- (n=18)	COG1028 (n=34) | COG1024 (n=21) | COG0559 (n=21) | COG0410 (n=21) | COG1960 (n=18)	4257	1991	putative protein (n=26) | Caprolactamase subunit alpha (n=21) | High-affinity branched-chain amino acid transport ATP-binding protein LivF (n=21) | High-affinity branched-chain amino acid transport system permease protein LivH (n=21) | Lipopolysaccharide export system ATP-binding protein LptB (n=19)	3.5.2.- (n=42) | 7.5.2.- (n=30) | 3.1.-.- (n=24) | 1.-.-.- (n=18) | 1.1.1.- (n=18)	COG1028 (n=34) | COG1024 (n=21) | COG0559 (n=21) | COG0410 (n=21) | COG1960 (n=18)
Agelas	GCA_958296225.1	both	3933	1315	putative protein (n=23) | Alkanal monooxygenase alpha chain (n=16) | Oxygen-dependent choline dehydrogenase (n=12) | Succinate--glutarate CoA-transferase (n=10) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=9)	3.1.-.- (n=28) | 1.1.1.- (n=18) | 1.14.14.3 (n=16) | 7.1.1.- (n=15) | 1.-.-.- (n=12)	COG1028 (n=21) | COG0601 (n=17) | COG2141 (n=15) | COG1173 (n=13) | COG1804 (n=12)	3933	1315	putative protein (n=23) | Alkanal monooxygenase alpha chain (n=16) | Oxygen-dependent choline dehydrogenase (n=12) | Succinate--glutarate CoA-transferase (n=10) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=9)	3.1.-.- (n=28) | 1.1.1.- (n=18) | 1.14.14.3 (n=16) | 7.1.1.- (n=15) | 1.-.-.- (n=12)	COG1028 (n=21) | COG0601 (n=17) | COG2141 (n=15) | COG1173 (n=13) | COG1804 (n=12)
Agelas	GCA_958296235.1	both	4495	1843	putative protein (n=67) | Alkanal monooxygenase alpha chain (n=18) | Caprolactamase subunit alpha (n=13) | Putative coenzyme F420-dependent oxidoreductase (n=12) | Caprolactamase subunit beta (n=12)	3.1.-.- (n=41) | 1.3.99.- (n=30) | 3.5.2.- (n=28) | 1.-.-.- (n=25) | 1.14.14.3 (n=18)	COG2141 (n=51) | COG1960 (n=38) | COG1024 (n=33) | COG1028 (n=24) | COG3653 (n=19)	4495	1843	putative protein (n=67) | Alkanal monooxygenase alpha chain (n=18) | Caprolactamase subunit alpha (n=13) | Putative coenzyme F420-dependent oxidoreductase (n=12) | Caprolactamase subunit beta (n=12)	3.1.-.- (n=41) | 1.3.99.- (n=30) | 3.5.2.- (n=28) | 1.-.-.- (n=25) | 1.14.14.3 (n=18)	COG2141 (n=51) | COG1960 (n=38) | COG1024 (n=33) | COG1028 (n=24) | COG3653 (n=19)
Agelas	GCA_958296295.1	full_only						3690	1382	putative protein (n=26) | Prophage integrase IntA (n=8) | Succinate--glutarate CoA-transferase (n=6) | C4-dicarboxylate TRAP transporter large permease protein DctM (n=6) | Short-chain-enoyl-CoA hydratase (n=5)	7.6.2.- (n=18) | 7.1.1.- (n=14) | 3.1.-.- (n=13) | 1.1.1.- (n=13) | 1.-.-.- (n=13)	COG1028 (n=19) | COG1024 (n=18) | COG1960 (n=14) | COG1373 (n=11) | COG2141 (n=9)
Agelas	GCA_958296385.1	both	2998	1195	putative protein (n=17) | Alkanal monooxygenase alpha chain (n=13) | Succinate--glutarate CoA-transferase (n=11) | L-lactate transporter (n=10) | Cyclopentanol dehydrogenase (n=9)	3.1.-.- (n=21) | 1.14.14.3 (n=13) | 1.1.1.- (n=13) | 7.1.1.- (n=12) | 1.-.-.- (n=11)	COG1028 (n=17) | COG1804 (n=13) | COG2141 (n=12) | COG1024 (n=12) | COG0028 (n=10)	2998	1195	putative protein (n=17) | Alkanal monooxygenase alpha chain (n=13) | Succinate--glutarate CoA-transferase (n=11) | L-lactate transporter (n=10) | Cyclopentanol dehydrogenase (n=9)	3.1.-.- (n=21) | 1.14.14.3 (n=13) | 1.1.1.- (n=13) | 7.1.1.- (n=12) | 1.-.-.- (n=11)	COG1028 (n=17) | COG1804 (n=13) | COG2141 (n=12) | COG1024 (n=12) | COG0028 (n=10)
Agelas	odAgeOroi1.Acidimicrobiales_4.1.primary	v3v4_only	2587	1065	putative protein (n=21) | High-affinity branched-chain amino acid transport ATP-binding protein LivF (n=5) | Atrazine chlorohydrolase (n=5) | Putative coenzyme F420-dependent oxidoreductase (n=5) | 8-oxoguanine deaminase (n=4)	1.3.99.- (n=16) | 1.-.-.- (n=15) | 7.1.1.- (n=11) | 1.1.1.- (n=9) | 7.6.2.- (n=8)	COG1028 (n=20) | COG1960 (n=18) | COG1024 (n=12) | COG2141 (n=10) | COG0318 (n=9)					
Agelas	odAgeOroi1.Aggregatilineales_1.1.primary	full_only						2549	1225	Arabinooligosaccharides transport system permease protein AraQ (n=15) | putative ABC transporter ATP-binding protein (n=9) | Ulvan-active sulfatase (n=9) | Dipeptide transport system permease protein DppB (n=8) | putative protein (n=8)	1.1.1.- (n=19) | 7.1.1.- (n=16) | 7.6.2.- (n=13) | 3.5.2.- (n=11) | 3.1.6.- (n=10)	COG0395 (n=24) | COG1175 (n=16) | COG3119 (n=15) | COG4948 (n=15) | COG1028 (n=15)
Agelas	odAgeOroi1.Aggregatilineales_3.1.primary	both	2911	1337	Arabinooligosaccharides transport system permease protein AraQ (n=15) | putative protein (n=12) | Melibiose/raffinose/stachyose import permease protein MelD (n=10) | Arylsulfatase (n=8) | Lactose transport system permease protein LacF (n=8)	1.1.1.- (n=17) | 2.1.1.72 (n=15) | 7.1.1.- (n=14) | 7.6.2.- (n=12) | 7.5.2.- (n=8)	COG0395 (n=34) | COG1175 (n=26) | COG3119 (n=15) | COG0601 (n=14) | COG1173 (n=12)	2911	1337	Arabinooligosaccharides transport system permease protein AraQ (n=15) | putative protein (n=12) | Melibiose/raffinose/stachyose import permease protein MelD (n=10) | Arylsulfatase (n=8) | Lactose transport system permease protein LacF (n=8)	1.1.1.- (n=17) | 2.1.1.72 (n=15) | 7.1.1.- (n=14) | 7.6.2.- (n=12) | 7.5.2.- (n=8)	COG0395 (n=34) | COG1175 (n=26) | COG3119 (n=15) | COG0601 (n=14) | COG1173 (n=12)
Agelas	odAgeOroi1.Alphaproteobacteria_11.1.primary	both	1594	858	Caprolactamase subunit beta (n=10) | Caprolactamase subunit alpha (n=7) | putative protein (n=7) | High-affinity branched-chain amino acid transport system permease protein LivH (n=7) | Glutathione-binding protein GsiB (n=7)	3.5.2.- (n=19) | 7.1.1.- (n=15) | 3.1.-.- (n=14) | 7.5.2.- (n=13) | 7.4.2.9 (n=13)	COG0444 (n=11) | COG0601 (n=11) | COG0747 (n=11) | COG1173 (n=7) | COG3842 (n=7)	1594	858	Caprolactamase subunit beta (n=10) | Caprolactamase subunit alpha (n=7) | putative protein (n=7) | High-affinity branched-chain amino acid transport system permease protein LivH (n=7) | Glutathione-binding protein GsiB (n=7)	3.5.2.- (n=19) | 7.1.1.- (n=15) | 3.1.-.- (n=14) | 7.5.2.- (n=13) | 7.4.2.9 (n=13)	COG0444 (n=11) | COG0601 (n=11) | COG0747 (n=11) | COG1173 (n=7) | COG3842 (n=7)
Agelas	odAgeOroi1.Alphaproteobacteria_12.1.primary	both	2006	794	Caprolactamase subunit beta (n=10) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=9) | Caprolactamase subunit alpha (n=8) | Single-stranded DNA-binding protein (n=7) | High-affinity branched-chain amino acid transport ATP-binding protein LivF (n=7)	3.5.2.- (n=19) | 1.1.1.100 (n=9) | 7.5.2.- (n=8) | 3.5.2.9 (n=7) | 1.2.5.3 (n=7)	COG3842 (n=11) | COG1028 (n=9) | COG0410 (n=7) | COG1175 (n=6) | COG0395 (n=6)	2006	794	Caprolactamase subunit beta (n=10) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=9) | Caprolactamase subunit alpha (n=8) | Single-stranded DNA-binding protein (n=7) | High-affinity branched-chain amino acid transport ATP-binding protein LivF (n=7)	3.5.2.- (n=19) | 1.1.1.100 (n=9) | 7.5.2.- (n=8) | 3.5.2.9 (n=7) | 1.2.5.3 (n=7)	COG3842 (n=11) | COG1028 (n=9) | COG0410 (n=7) | COG1175 (n=6) | COG0395 (n=6)
Agelas	odAgeOroi1.Alphaproteobacteria_3.1.primary	both	2561	1147	Caffeine dehydrogenase subunit alpha (n=13) | C4-dicarboxylate TRAP transporter large permease protein DctM (n=11) | Single-stranded DNA-binding protein (n=11) | L-lactate transporter (n=10) | Phenolic acid decarboxylase (n=10)	1.17.5.2 (n=18) | 1.5.99.14 (n=16) | 1.2.5.3 (n=15) | 3.1.-.- (n=12) | 1.-.-.- (n=11)	COG1028 (n=21) | COG1024 (n=14) | COG2223 (n=11) | COG0318 (n=11) | COG1638 (n=7)	2561	1147	Caffeine dehydrogenase subunit alpha (n=13) | C4-dicarboxylate TRAP transporter large permease protein DctM (n=11) | Single-stranded DNA-binding protein (n=11) | L-lactate transporter (n=10) | Phenolic acid decarboxylase (n=10)	1.17.5.2 (n=18) | 1.5.99.14 (n=16) | 1.2.5.3 (n=15) | 3.1.-.- (n=12) | 1.-.-.- (n=11)	COG1028 (n=21) | COG1024 (n=14) | COG2223 (n=11) | COG0318 (n=11) | COG1638 (n=7)
Agelas	odAgeOroi1.Alphaproteobacteria_4.1.primary	v3v4_only	189	71	Succinate dehydrogenase flavoprotein subunit (n=2) | High-affinity branched-chain amino acid transport system permease protein LivH (n=2) | 3-mercaptopyruvate sulfurtransferase (n=2) | Haloalkane dehalogenase (n=2) | Sulfate/thiosulfate import ATP-binding protein CysA (n=2)	1.3.5.1 (n=3) | 2.8.1.2 (n=2) | 3.8.1.5 (n=2) | 7.3.2.3 (n=2) | 3.1.-.- (n=2)	COG2897 (n=2) | COG1053 (n=2) | COG1118 (n=2) | COG0559 (n=2) | COG0410 (n=2)					
Agelas	odAgeOroi1.Bryobacterales_1.1.primary	both	1156	493	Ulvan-active sulfatase (n=14) | N-acetylgalactosamine-6-O-sulfatase (n=13) | Arylsulfatase (n=9) | putative protein (n=6) | N-acetylglucosamine-6-O-sulfatase (n=4)	3.1.6.- (n=33) | 3.1.-.- (n=12) | 3.1.6.1 (n=9) | 7.1.1.- (n=9) | 7.2.1.1 (n=6)	COG3119 (n=35) | COG0673 (n=5) | COG1028 (n=3) | COG1960 (n=3) | COG1024 (n=3)	1156	493	Ulvan-active sulfatase (n=14) | N-acetylgalactosamine-6-O-sulfatase (n=13) | Arylsulfatase (n=9) | putative protein (n=6) | N-acetylglucosamine-6-O-sulfatase (n=4)	3.1.6.- (n=33) | 3.1.-.- (n=12) | 3.1.6.1 (n=9) | 7.1.1.- (n=9) | 7.2.1.1 (n=6)	COG3119 (n=35) | COG0673 (n=5) | COG1028 (n=3) | COG1960 (n=3) | COG1024 (n=3)
Agelas	odAgeOroi1.Caldilineaceae_1.1.primary	v3v4_only	1007	392	Arabinooligosaccharides transport system permease protein AraQ (n=7) | Lactose transport system permease protein LacF (n=7) | D-galactonate dehydratase (n=5) | D-galactarolactone cycloisomerase (n=4) | putative protein (n=4)	1.1.1.- (n=10) | 3.5.2.- (n=8) | 7.4.2.9 (n=6) | 1.-.-.- (n=5) | 4.2.1.6 (n=5)	COG4948 (n=14) | COG0395 (n=11) | COG0673 (n=9) | COG1028 (n=6) | COG0601 (n=6)					
Agelas	odAgeOroi1.Candidatus_Binatia_1.1.primary	full_only						4613	1856	putative protein (n=63) | Alkanal monooxygenase alpha chain (n=19) | Putative coenzyme F420-dependent oxidoreductase (n=13) | Caprolactamase subunit alpha (n=13) | Cyclohexanol dehydrogenase (n=12)	3.1.-.- (n=48) | 1.3.99.- (n=30) | 3.5.2.- (n=28) | 1.-.-.- (n=27) | 1.14.14.3 (n=19)	COG2141 (n=52) | COG1960 (n=38) | COG1024 (n=32) | COG1028 (n=26) | COG1804 (n=18)
Agelas	odAgeOroi1.Candidatus_Binatia_2.1.primary	both	4509	1844	putative protein (n=63) | Alkanal monooxygenase alpha chain (n=20) | Putative coenzyme F420-dependent oxidoreductase (n=14) | Caprolactamase subunit alpha (n=13) | Caprolactamase subunit beta (n=12)	3.1.-.- (n=37) | 1.3.99.- (n=30) | 3.5.2.- (n=28) | 1.-.-.- (n=26) | 1.14.14.3 (n=20)	COG2141 (n=51) | COG1960 (n=39) | COG1024 (n=33) | COG1028 (n=26) | COG3653 (n=19)	4509	1844	putative protein (n=63) | Alkanal monooxygenase alpha chain (n=20) | Putative coenzyme F420-dependent oxidoreductase (n=14) | Caprolactamase subunit alpha (n=13) | Caprolactamase subunit beta (n=12)	3.1.-.- (n=37) | 1.3.99.- (n=30) | 3.5.2.- (n=28) | 1.-.-.- (n=26) | 1.14.14.3 (n=20)	COG2141 (n=51) | COG1960 (n=39) | COG1024 (n=33) | COG1028 (n=26) | COG3653 (n=19)
Agelas	odAgeOroi1.Candidatus_Entotheonella_sp_2.1.primary	both	3781	1467	putative protein (n=23) | Succinate--glutarate CoA-transferase (n=7) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=7) | Acyl-CoA dehydrogenase (n=6) | CRISPR-associated exonuclease Cas4/endonuclease Cas1 fusion (n=6)	3.1.-.- (n=31) | 1.1.1.- (n=20) | 7.1.1.- (n=20) | 4.2.1.- (n=11) | 1.3.99.- (n=11)	COG1028 (n=19) | COG1804 (n=17) | COG1960 (n=13) | COG2141 (n=12) | COG1024 (n=11)	3781	1467	putative protein (n=23) | Succinate--glutarate CoA-transferase (n=7) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=7) | Acyl-CoA dehydrogenase (n=6) | CRISPR-associated exonuclease Cas4/endonuclease Cas1 fusion (n=6)	3.1.-.- (n=31) | 1.1.1.- (n=20) | 7.1.1.- (n=20) | 4.2.1.- (n=11) | 1.3.99.- (n=11)	COG1028 (n=19) | COG1804 (n=17) | COG1960 (n=13) | COG2141 (n=12) | COG1024 (n=11)
Agelas	odAgeOroi1.Dehalococcoidia_21.1.primary	both	2182	842	putative protein (n=22) | Cyclopentanol dehydrogenase (n=7) | Oxygen-dependent choline dehydrogenase (n=7) | Succinate--glutarate CoA-transferase (n=7) | 4-hydroxybenzoyl-CoA reductase subunit alpha (n=6)	7.1.1.- (n=10) | 2.2.1.6 (n=9) | 2.8.3.15 (n=9) | 1.1.1.- (n=8) | 1.1.1.163 (n=7)	COG2141 (n=12) | COG0601 (n=9) | COG1028 (n=9) | COG0154 (n=9) | COG1804 (n=9)	2182	842	putative protein (n=22) | Cyclopentanol dehydrogenase (n=7) | Oxygen-dependent choline dehydrogenase (n=7) | Succinate--glutarate CoA-transferase (n=7) | 4-hydroxybenzoyl-CoA reductase subunit alpha (n=6)	7.1.1.- (n=10) | 2.2.1.6 (n=9) | 2.8.3.15 (n=9) | 1.1.1.- (n=8) | 1.1.1.163 (n=7)	COG2141 (n=12) | COG0601 (n=9) | COG1028 (n=9) | COG0154 (n=9) | COG1804 (n=9)
