dataset	run_id	mag_id	annotated_cds_count	non_hypothetical_cds_count	key_products_top5	key_ec_top5	key_cog_top5	source_report
Spongia	run_MAGs-Maor_id95-vsearch	CBDBOS01	1793	930	Tyrosine recombinase XerC (n=11) | Tyrosine recombinase XerD (n=9) | putative protein (n=8) | 4-methylaminobutanoate oxidase (formaldehyde-forming) (n=7) | Glycine betaine methyltransferase (n=7)	7.1.1.- (n=14) | 3.1.-.- (n=7) | 1.5.3.19 (n=7) | 2.1.1.376 (n=7) | 1.5.3.1 (n=5)	COG4974 (n=8) | COG5598 (n=7) | COG1028 (n=6) | COG0583 (n=6) | COG4973 (n=5)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	CBDBPM01	4952	1453	RNA-guided DNA endonuclease TnpB (n=23) | putative protein (n=15) | Arylsulfatase (n=15) | Putative transposase InsK for insertion sequence element IS150 (n=14) | Macrolide export ATP-binding/permease protein MacB (n=12)	1.1.1.- (n=35) | 7.6.2.- (n=29) | 3.1.21.- (n=23) | 2.7.11.1 (n=23) | 3.1.6.- (n=21)	COG3119 (n=40) | COG0673 (n=34) | COG4948 (n=29) | COG0675 (n=23) | COG5285 (n=17)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	CBDBQH01	1779	837	putative protein (n=8) | Glycine betaine methyltransferase (n=5) | Putative transposase InsK for insertion sequence element IS150 (n=3) | Sarcosine oxidase subunit beta (n=3) | Lipopolysaccharide export system ATP-binding protein LptB (n=3)	3.1.-.- (n=16) | 7.1.1.- (n=13) | 2.1.1.72 (n=11) | 1.5.3.1 (n=6) | 7.5.2.- (n=5)	COG3842 (n=5) | COG5598 (n=5) | COG1028 (n=5) | COG1373 (n=4) | COG0625 (n=4)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	CBDBQL01	3828	1288	Dipeptidyl-peptidase 5 (n=21) | putative protein (n=15) | Prophage integrase IntA (n=10) | Cocaine esterase (n=9) | Glutathione hydrolase proenzyme (n=7)	3.1.-.- (n=25) | 3.4.14.- (n=22) | 7.6.2.- (n=14) | 3.1.1.84 (n=9) | 2.8.1.7 (n=8)	COG0823 (n=25) | COG3653 (n=13) | COG0582 (n=12) | COG0520 (n=10) | COG0405 (n=9)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_963663175.1	5340	1710	Arylsulfatase (n=43) | Ulvan-active sulfatase (n=41) | putative protein (n=19) | N-acetylgalactosamine-6-O-sulfatase (n=16) | Myo-inositol 2-dehydrogenase (n=13)	3.1.6.- (n=76) | 3.1.6.1 (n=43) | 1.1.1.- (n=33) | 7.6.2.- (n=22) | 3.1.-.- (n=21)	COG3119 (n=124) | COG4948 (n=39) | COG0673 (n=33) | COG0845 (n=14) | COG1132 (n=14)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_963663195.1	3875	1325	Quinohemoprotein alcohol dehydrogenase ADH-IIG (n=23) | Quinoprotein glucose dehydrogenase (n=22) | Quinate/shikimate dehydrogenase (quinone) (n=16) | Quinohemoprotein alcohol dehydrogenase ADH IIB (n=15) | putative protein (n=12)	1.1.9.1 (n=41) | 3.1.-.- (n=32) | 1.1.5.2 (n=22) | 1.1.5.8 (n=16) | 7.6.2.- (n=14)	COG4993 (n=38) | COG1848 (n=10) | COG2133 (n=9) | COG1136 (n=8) | COG2801 (n=7)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_963663255.1	3271	1658	putative protein (n=40) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=14) | Acyl-CoA dehydrogenase IpdE1 (n=10) | High-affinity branched-chain amino acid transport ATP-binding protein LivF (n=10) | Feruloyl-CoA synthase (n=9)	1.3.99.- (n=39) | 1.1.1.- (n=34) | 1.-.-.- (n=25) | 1.1.1.100 (n=20) | 7.1.1.- (n=18)	COG1028 (n=55) | COG1960 (n=40) | COG2124 (n=30) | COG1024 (n=28) | COG0318 (n=28)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_963663395.1	4981	2224	Iron and copper transporter IacT (n=57) | putative protein (n=50) | Acyl-CoA dehydrogenase IpdE1 (n=12) | Long-chain-fatty-acid--CoA ligase (n=12) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=11)	1.3.99.- (n=46) | 1.-.-.- (n=37) | 3.1.-.- (n=32) | 1.1.1.- (n=29) | 1.14.-.- (n=20)	COG4773 (n=57) | COG1028 (n=57) | COG1960 (n=53) | COG1024 (n=36) | COG0318 (n=29)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_963663495.1	5429	1021	Transposase for transposon Tn5 (n=25) | Adenine-specific methyltransferase BrxX (n=16) | RNA-guided DNA endonuclease TnpB (n=10) | putative protein (n=9) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=8)	3.1.-.- (n=46) | 2.1.1.72 (n=24) | 3.1.6.- (n=12) | 7.6.2.- (n=11) | 3.1.21.- (n=10)	COG3119 (n=13) | COG0675 (n=10) | COG1028 (n=8) | COG0451 (n=6) | COG0673 (n=5)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_963663945.1	3624	1473	Insertion sequence IS5376 putative ATP-binding protein (n=34) | putative protein (n=22) | Alkanal monooxygenase alpha chain (n=20) | Oxygen-dependent choline dehydrogenase (n=15) | L-lactate transporter (n=14)	1.14.14.3 (n=20) | 3.1.-.- (n=17) | 1.1.1.- (n=16) | 2.8.3.15 (n=16) | 1.1.99.1 (n=15)	COG0601 (n=19) | COG1028 (n=19) | COG1804 (n=16) | COG2303 (n=15) | COG2141 (n=14)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_963664535.1	3928	1871	putative protein (n=38) | Gamma-resorcylate decarboxylase (n=26) | 4-hydroxybenzoyl-CoA reductase subunit alpha (n=22) | Phenolic acid decarboxylase (n=20) | L-lactate transporter (n=17)	3.1.-.- (n=32) | 1.2.5.3 (n=27) | 4.1.1.103 (n=26) | 1.1.7.1 (n=23) | 3.5.2.- (n=21)	COG1028 (n=20) | COG1373 (n=20) | COG2141 (n=19) | COG2223 (n=19) | COG2159 (n=17)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_963664635.1	4916	1992	putative protein (n=61) | Iron and copper transporter IacT (n=22) | Para-nitrobenzyl esterase (n=13) | Short-chain-enoyl-CoA hydratase (n=11) | Putative glycoside/cation symporter YagG (n=11)	3.1.-.- (n=49) | 1.3.99.- (n=28) | 3.1.1.- (n=24) | 1.1.1.- (n=21) | 1.-.-.- (n=19)	COG1028 (n=34) | COG1024 (n=33) | COG1960 (n=32) | COG4773 (n=22) | COG2141 (n=19)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_963664695.1	2432	1044	D-galactonate dehydratase (n=20) | putative protein (n=13) | Dipeptide transport system permease protein DppB (n=11) | D-galactarolactone cycloisomerase (n=10) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=9)	1.1.1.- (n=20) | 4.2.1.6 (n=20) | 3.1.-.- (n=18) | 7.4.2.9 (n=12) | 1.-.-.- (n=11)	COG4948 (n=50) | COG1028 (n=18) | COG0601 (n=17) | COG1173 (n=15) | COG0444 (n=11)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_963664945.1	5091	1607	Arylsulfatase (n=17) | Iron and copper transporter IacT (n=17) | Tyrosine recombinase XerD (n=13) | Ulvan-active sulfatase (n=12) | putative protein (n=11)	3.1.-.- (n=46) | 3.1.6.- (n=21) | 3.1.6.1 (n=17) | 7.6.2.- (n=11) | 7.1.1.- (n=10)	COG3119 (n=23) | COG4773 (n=17) | COG4974 (n=15) | COG1028 (n=13) | COG0673 (n=8)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_963665755.1	3301	1397	putative protein (n=15) | Isopenicillin N epimerase (n=12) | Serine/threonine exchanger SteT (n=9) | Putative transposase InsK for insertion sequence element IS150 (n=9) | Ulvan-active sulfatase (n=9)	1.1.1.- (n=24) | 3.1.6.- (n=13) | 3.1.-.- (n=12) | 5.1.1.17 (n=12) | 7.6.2.- (n=11)	COG3119 (n=24) | COG0673 (n=23) | COG4948 (n=23) | COG0520 (n=17) | COG1028 (n=15)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_963665785.1	3649	1687	putative protein (n=25) | putative protein YejA (n=24) | Ulvan-active sulfatase (n=16) | Arylsulfatase (n=14) | Iron and copper transporter IacT (n=10)	3.1.6.- (n=27) | 3.1.-.- (n=20) | 1.3.99.- (n=17) | 3.1.6.1 (n=14) | 7.1.1.- (n=13)	COG3119 (n=34) | COG1028 (n=26) | COG4166 (n=26) | COG1024 (n=21) | COG1960 (n=19)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_963666325.1	3440	1463	putative protein (n=30) | Glycerol dehydrogenase large subunit (n=6) | Quinohemoprotein alcohol dehydrogenase ADH IIB (n=6) | Toxin RTX-I translocation ATP-binding protein (n=6) | Toxin FitB (n=6)	3.1.-.- (n=33) | 7.1.1.- (n=12) | 1.3.99.- (n=10) | 1.-.-.- (n=9) | 1.1.9.1 (n=8)	COG1373 (n=25) | COG1960 (n=10) | COG4993 (n=10) | COG1136 (n=7) | COG1804 (n=7)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_963666465.1	5260	1653	putative protein (n=37) | Prophage integrase IntA (n=11) | Alpha-ketoglutarate-dependent taurine dioxygenase (n=7) | putative protein YejA (n=7) | Putative coenzyme F420-dependent oxidoreductase (n=7)	3.1.-.- (n=42) | 1.-.-.- (n=21) | 1.3.99.- (n=17) | 1.1.1.- (n=15) | 7.1.1.- (n=14)	COG1028 (n=26) | COG1024 (n=23) | COG2141 (n=19) | COG1960 (n=17) | COG1804 (n=15)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_963667115.1	2625	997	putative protein YagA (n=18) | putative protein (n=11) | 3-hydroxy-5-methyl-1-naphthoate 3-O-methyltransferase (n=4) | Regulatory protein AtoC (n=4) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=3)	7.1.1.- (n=23) | 3.1.-.- (n=10) | 3.4.24.- (n=5) | 3.4.-.- (n=5) | 3.4.21.107 (n=5)	COG2801 (n=19) | COG2204 (n=7) | COG0451 (n=5) | COG1028 (n=5) | COG0265 (n=5)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_963667285.1	5405	2658	Insertion sequence IS5376 putative ATP-binding protein (n=60) | C4-dicarboxylate TRAP transporter large permease protein DctM (n=56) | Solute-binding protein (n=31) | Toluene-4-sulfonate monooxygenase system iron-sulfur subunit TsaM1 (n=25) | Caprolactamase subunit beta (n=21)	3.5.2.- (n=40) | 1.2.5.3 (n=33) | 1.14.14.- (n=31) | 3.1.-.- (n=28) | 1.5.99.14 (n=24)	COG1028 (n=47) | COG1638 (n=36) | COG1024 (n=27) | COG2141 (n=20) | COG0697 (n=19)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_963667625.1	1723	873	putative protein (n=16) | RNA-guided DNA endonuclease TnpB (n=9) | Insertion sequence IS5376 putative ATP-binding protein (n=4) | Long-chain-fatty-acid--CoA ligase (n=4) | Acyl-CoA dehydrogenase (n=3)	3.1.-.- (n=12) | 7.1.1.- (n=11) | 3.1.21.- (n=9) | 3.6.4.12 (n=4) | 6.2.1.3 (n=4)	COG0675 (n=9) | COG2141 (n=6) | COG0318 (n=6) | COG1373 (n=6) | COG0451 (n=5)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_963668465.1	3065	1258	5,5'-dehydrodivanillate O-demethylase oxygenase subunit (n=35) | Phthalate 4,5-dioxygenase oxygenase subunit (n=23) | putative protein (n=14) | L-lactate transporter (n=14) | Gamma-resorcylate decarboxylase (n=10)	1.14.13.- (n=36) | 3.1.-.- (n=31) | 1.14.12.7 (n=23) | 1.-.-.- (n=22) | 1.1.1.- (n=17)	COG4638 (n=38) | COG1028 (n=26) | COG2159 (n=15) | COG2223 (n=15) | COG1529 (n=7)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_965207035.1	4990	1561	Ulvan-active sulfatase (n=43) | Arylsulfatase (n=34) | N-acetylgalactosamine-6-O-sulfatase (n=32) | putative protein (n=17) | Sulfatase (n=12)	3.1.6.- (n=98) | 3.1.-.- (n=37) | 3.1.6.1 (n=34) | 7.6.2.- (n=18) | 1.-.-.- (n=12)	COG3119 (n=113) | COG4948 (n=25) | COG0673 (n=13) | COG1028 (n=11) | COG1136 (n=9)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_965207065.1	4165	1820	putative protein (n=23) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=18) | High-affinity branched-chain amino acid transport ATP-binding protein LivF (n=17) | Lipopolysaccharide export system ATP-binding protein LptB (n=15) | High-affinity branched-chain amino acid transport system permease protein LivH (n=14)	1.1.1.- (n=27) | 3.5.2.- (n=20) | 7.5.2.- (n=18) | 1.1.1.100 (n=18) | 7.1.1.- (n=18)	COG1028 (n=32) | COG1960 (n=22) | COG0410 (n=17) | COG2141 (n=17) | COG1137 (n=14)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_965207315.1	3130	1097	putative protein (n=25) | Dipeptidyl-peptidase 5 (n=10) | N-substituted formamide deformylase (n=8) | Insertion sequence IS5376 putative ATP-binding protein (n=7) | N-acyl-D-glutamate deacylase (n=6)	3.1.-.- (n=38) | 3.4.14.- (n=12) | 7.6.2.- (n=12) | 3.5.1.91 (n=8) | 2.1.1.72 (n=8)	COG1373 (n=14) | COG1848 (n=11) | COG0823 (n=10) | COG0520 (n=10) | COG3653 (n=9)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_965207365.1	3276	1231	putative protein (n=32) | Glutathione transport system permease protein GsiD (n=14) | Succinyl-CoA:(R)-benzylsuccinate CoA-transferase subunit BbsF (n=12) | Succinate--glutarate CoA-transferase (n=10) | Short-chain-enoyl-CoA hydratase (n=10)	2.8.3.15 (n=22) | 1.1.1.- (n=21) | 3.1.-.- (n=18) | 2.8.3.- (n=15) | 1.-.-.- (n=14)	COG1028 (n=34) | COG1024 (n=26) | COG1804 (n=19) | COG0601 (n=19) | COG1960 (n=14)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_965207525.1	6584	2657	C4-dicarboxylate TRAP transporter large permease protein DctM (n=49) | Insertion sequence IS5376 putative ATP-binding protein (n=33) | Toluene-4-sulfonate monooxygenase system iron-sulfur subunit TsaM1 (n=28) | Solute-binding protein (n=26) | Single-stranded DNA-binding protein (n=24)	3.1.-.- (n=40) | 1.14.14.- (n=34) | 1.2.5.3 (n=30) | 3.5.2.- (n=30) | 1.17.5.2 (n=27)	COG1028 (n=42) | COG1638 (n=30) | COG1024 (n=29) | COG1960 (n=21) | COG0559 (n=20)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_965207635.1	3051	1227	putative protein (n=25) | putative oxidoreductase (n=11) | Succinyl-CoA:(R)-benzylsuccinate CoA-transferase subunit BbsE (n=10) | Glutathione transport system permease protein GsiD (n=10) | Indole-3-acetate monooxygenase (n=9)	3.1.-.- (n=29) | 1.1.1.- (n=26) | 1.-.-.- (n=21) | 2.8.3.15 (n=19) | 1.14.-.- (n=16)	COG1028 (n=37) | COG2124 (n=25) | COG1024 (n=17) | COG1960 (n=15) | COG1173 (n=13)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_965208155.1	2242	914	putative protein (n=28) | Insertion sequence IS5376 putative ATP-binding protein (n=20) | RNA-guided DNA endonuclease TnpB (n=8) | Tyrosine recombinase XerC (n=5) | Long-chain-fatty-acid--CoA ligase (n=4)	3.1.-.- (n=22) | 7.1.1.- (n=11) | 3.1.21.- (n=8) | 2.7.7.6 (n=4) | 3.6.4.12 (n=4)	COG1373 (n=19) | COG0675 (n=8) | COG0451 (n=7) | COG0318 (n=6) | COG2141 (n=4)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_965208255.1	3890	1300	Insertion sequence IS5376 putative ATP-binding protein (n=26) | Putative transposase for insertion sequence element IS5376 (n=24) | Dipeptidyl-peptidase 5 (n=15) | putative protein (n=13) | Glutamyl-tRNA(Gln) amidotransferase subunit A (n=9)	3.1.-.- (n=19) | 3.4.14.- (n=16) | 7.6.2.- (n=13) | 6.3.5.7 (n=9) | 1.1.1.100 (n=8)	COG0823 (n=16) | COG0405 (n=10) | COG1028 (n=9) | COG3653 (n=9) | COG1629 (n=8)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	GCA_965208435.1	3473	1416	putative protein (n=45) | Acyl-CoA dehydrogenase IpdE1 (n=9) | Putative acyl-CoA dehydrogenase FadE17 (n=7) | Long-chain-fatty-acid--CoA ligase (n=6) | Putative coenzyme F420-dependent oxidoreductase (n=6)	3.1.-.- (n=39) | 1.3.99.- (n=30) | 1.-.-.- (n=19) | 7.6.2.- (n=16) | 7.5.2.- (n=14)	COG1960 (n=30) | COG1028 (n=26) | COG1024 (n=23) | COG1373 (n=18) | COG2141 (n=16)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
